medaltblxtra.country,medaltblxtra.code,medaltblxtra.bronze_cnt,medaltblxtra.gold_cnt,medaltblxtra.silver_cnt,medaltblxtra.ling_fract,medaltblxtra.relig_fract,medaltblxtra.ethnic_fract
Hungary,HUN,7,12,3,0.0296999998391,0.524399995804,0.152199998498
Iceland,ISL,0,0,0,0.082000002265,0.191300004721,0.0798000022769
India,IND,1,0,1,0.806900024414,0.326000005007,0.418199986219
Iraq,IRQ,0,0,0,0.369399994612,0.484400004148,0.368900001049
Ireland,IRL,0,0,3,0.0311999991536,0.155000001192,0.120600000024
Israel,ISR,2,0,0,0.552500009537,0.346899986267,0.343600004911
Italy,ITA,24,6,40,0.114699997008,0.302700012922,0.114500001073
Italy,ITA,24,8,40,0.114699997008,0.302700012922,0.114500001073
Jamaica,JAM,2,6,17,0.109800003469,0.615999996662,0.412900000811
Jamaica,JAM,2,11,17,0.109800003469,0.615999996662,0.412900000811
Japan,JPN,35,15,13,0.0177999995649,0.540600001812,0.0119000002742
Japan,JPN,35,17,13,0.0177999995649,0.540600001812,0.0119000002742
Jordan,JOR,0,1,0,0.0395999997854,0.0658999979496,0.592599987984
Kazakhstan,KAZ,9,3,5,0.662100017071,0.589800000191,0.617100000381
Kazakhstan,KAZ,9,3,5,0.662100017071,0.589800000191,0.617100000381
Kenya,KEN,1,6,6,0.885999977589,0.776499986649,0.858799993992
Kenya,KEN,1,6,6,0.885999977589,0.776499986649,0.858799993992
Kiribati,KIR,0,0,0,0.0237000007182,0.554099977016,0.0511000007391
Kyrgyzstan,KGZ,0,0,0,0.594900012016,0.446999996901,0.675199985504
Liberia,LBR,0,0,0,0.903800010681,0.488299995661,0.908399999142
Liechtenstein,LIE,0,0,0,0.22460000217,0.334300011396,0.572600007057
Lithuania,LTU,5,0,2,0.321900010109,0.414099991322,0.322299987078
Luxembourg,LUX,0,0,0,0.643999993801,0.091099999845,0.530200004578
Mali,MLI,0,0,0,0.838800013065,0.181999996305,0.69059997797
Malta,MLT,0,0,0,0.0907000005245,0.122299998999,0.041400000453
Mexico,MEX,2,0,3,0.151099994779,0.179600000381,0.541800022125
Moldova,MDA,1,0,0,0.553300023079,0.560299992561,0.553499996662
Morocco,MAR,1,0,0,0.468300014734,0.00350000010803,0.484100013971
Mozambique,MOZ,0,0,0,0.8125,0.675899982452,0.69319999218
Namibia,NAM,0,0,0,0.700500011444,0.662599980831,0.632899999619
Nauru,NRU,0,0,0,0.616100013256,0.619400024414,0.583199977875
Norway,NOR,19,0,0,0.0672999992967,0.204799994826,0.0586000010371
Pakistan,PAK,0,0,0,0.71899998188,0.384799987078,0.709800004959
Palau,PLW,0,0,0,0.315699994564,0.714699983597,0.431199997663
Panama,PAN,0,0,0,0.387300014496,0.333799988031,0.552799999714
Peru,PER,0,0,0,0.335799992085,0.198799997568,0.656599998474
Poland,POL,10,3,3,0.0467999987304,0.1712000072,0.118299998343
Poland,POL,10,3,3,0.0467999987304,0.1712000072,0.118299998343
Qatar,QAT,0,0,1,0.479999989271,0.0949999988079,0.745599985123
Romania,ROU,11,4,2,0.172299996018,0.237299993634,0.306899994612
Romania,ROU,11,4,2,0.172299996018,0.237299993634,0.306899994612
Rwanda,RWA,0,0,0,0.0,0.506600022316,0.323799997568
Senegal,SEN,0,0,0,0.708100020885,0.149700000882,0.693899989128
Serbia,SRB,13,14,26,0.0,0.0,0.573599994183
Serbia,SRB,13,14,26,0.0,0.0,0.573599994183
Somalia,SOM,0,0,0,0.0326000005007,0.00279999990016,0.811699986458
Spain,ESP,17,9,19,0.413199990988,0.451400011778,0.416500002146
Spain,ESP,17,9,19,0.413199990988,0.451400011778,0.416500002146
Swaziland,SWZ,0,0,0,0.172199994326,0.444400012493,0.0582000017166
Sweden,SWE,3,2,23,0.196799993515,0.234200000763,0.0599999986589
Sweden,SWE,3,2,23,0.196799993515,0.234200000763,0.0599999986589
Tajikistan,TJK,0,1,0,0.547299981117,0.33860000968,0.510699987411
Thailand,THA,2,2,2,0.634400010109,0.0993999987841,0.633800029755
Thailand,THA,2,2,2,0.634400010109,0.0993999987841,0.633800029755
Tunisia,TUN,3,0,0,0.0124000003561,0.0104000000283,0.0394000001252
Turkey,TUR,4,1,3,0.22159999609,0.00490000005811,0.319999992847
Turkey,TUR,4,1,3,0.22159999609,0.00490000005811,0.319999992847
Turkmenistan,TKM,0,0,0,0.398400008678,0.232700005174,0.391799986362
Tuvalu,TUV,0,0,0,0.137199997902,0.252400010824,0.162900000811
Uganda,UGA,0,0,0,0.922699987888,0.633199989796,0.930199980736
Ukraine,UKR,5,2,8,0.474099993706,0.615700006485,0.473699986935
Ukraine,UKR,5,2,8,0.474099993706,0.615700006485,0.473699986935
Uzbekistan,UZB,7,4,2,0.412000000477,0.213300004601,0.41249999404
Uzbekistan,UZB,7,4,2,0.412000000477,0.213300004601,0.41249999404
Yemen,YEM,0,0,0,0.00800000037998,0.00230000005104,0.0
